index	name	height	weight	description	image
16	Pidgey	1' 00"	4.0	Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png
17	Pidgeotto	3' 07"	66.1	This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png
18	Pidgeot	4' 11"	87.1	This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
19	Rattata	1' 00"	7.7	Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
20	Raticate	2' 04"	40.8	Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
21	Spearow	1' 00"	4.4	Inept at flying high. However, it can fly around very fast to protect its territory.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png
22	Fearow	3' 11"	83.8	A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png
23	Ekans	6' 07"	15.2	The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png
24	Arbok	11' 06"	143.3	The frightening patterns on its belly have been studied. Six variations have been confirmed.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png
25	Pikachu	1' 04"	13.2	Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png
26	Raichu	2' 07"	66.1	Its long tail serves as a ground to protect itself from its own high-voltage power.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
27	Sandshrew	2' 00"	26.5	It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
28	Sandslash	3' 03"	65.0	The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
29	Nidoran♀	1' 04"	15.4	Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png
30	Nidorina	2' 07"	44.1	The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png
31	Nidoqueen	4' 03"	132.3	Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png
32	Nidoran♂	1' 08"	19.8	The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png
33	Nidorino	2' 11"	43.0	With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png
34	Nidoking	4' 07"	136.7	When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png
35	Clefairy	2' 00"	16.5	It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png
36	Clefable	4' 03"	88.2	A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png
37	Vulpix	2' 00"	21.8	While young, it has six gorgeous tails. When it grows, several new tails are sprouted.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
38	Ninetales	3' 07"	43.9	It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
39	Jigglypuff	1' 08"	12.1	Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png
40	Wigglytuff	3' 03"	26.5	The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png
41	Zubat	2' 07"	16.5	It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png
42	Golbat	5' 03"	121.3	It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png
43	Oddish	1' 08"	11.9	If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png
44	Gloom	2' 07"	19.0	Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png
45	Vileplume	3' 11"	41.0	It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png
46	Paras	1' 00"	11.9	Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png
47	Parasect	3' 03"	65.0	The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png
48	Venonat	3' 03"	66.1	Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png
49	Venomoth	4' 11"	27.6	The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png
50	Diglett	0' 08"	1.8	If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
51	Dugtrio	2' 04"	73.4	A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
52	Meowth	1' 04"	9.3	It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
53	Persian	3' 03"	70.5	Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
54	Psyduck	2' 07"	43.2	Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
55	Golduck	5' 07"	168.9	This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
56	Mankey	1' 08"	61.7	An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
57	Primeape	3' 03"	70.5	It stops being angry only when nobody else is around. To view this moment is very difficult.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
58	Growlithe	2' 04"	41.9	It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
59	Arcanine	6' 03"	341.7	The sight of it running over 6,200 miles in a single day and night has captivated many people.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
60	Poliwag	2' 00"	27.3	For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
61	Poliwhirl	3' 03"	44.1	Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
62	Poliwrath	4' 03"	119.0	Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
63	Abra	2' 11"	43.0	This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
64	Kadabra	4' 03"	124.6	Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
65	Alakazam	4' 11"	105.8	It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
66	Machop	2' 07"	43.0	Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
67	Machoke	4' 11"	155.4	Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
68	Machamp	5' 03"	286.6	It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
69	Bellsprout	2' 04"	8.8	Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
70	Weepinbell	3' 03"	14.1	When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
71	Victreebel	5' 07"	34.2	Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
72	Tentacool	2' 11"	100.3	Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
73	Tentacruel	5' 03"	121.3	When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
74	Geodude	1' 04"	44.1	Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
75	Graveler	3' 03"	231.5	Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
76	Golem	4' 07"	661.4	Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
77	Ponyta	3' 03"	66.1	It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
78	Rapidash	5' 07"	209.4	This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
79	Slowpoke	3' 11"	79.4	Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
80	Slowbro	5' 03"	173.1	Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
81	Magnemite	1' 00"	13.2	At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png
82	Magneton	3' 03"	132.3	This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png
83	Farfetch’d	2' 07"	33.1	The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png
84	Doduo	4' 07"	86.4	Its short wings make flying difficult. Instead, this Pokémon runs at high speed on developed legs.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png
85	Dodrio	5' 11"	187.8	One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png
86	Seel	3' 07"	198.4	Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png
87	Dewgong	5' 07"	264.6	Its entire body is a snowy white. Unharmed by even intense cold, it swims powerfully in icy waters.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png
88	Grimer	2' 11"	66.1	Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png
89	Muk	3' 11"	66.1	Smells so awful, it can cause fainting. Through degeneration of its nose, it lost its sense of smell.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/089.png
90	Shellder	1' 00"	8.8	It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/090.png
91	Cloyster	4' 11"	292.1	Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/091.png
92	Gastly	4' 03"	0.2	Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/092.png
93	Haunter	5' 03"	0.2	Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/093.png
94	Gengar	4' 11"	89.3	On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/094.png
95	Onix	28' 10"	463.0	As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/095.png
96	Drowzee	3' 03"	71.4	If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/096.png
97	Hypno	5' 03"	166.7	Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/097.png
98	Krabby	1' 04"	14.3	It can be found near the sea. The large pincers grow back if they are torn out of their sockets.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/098.png
99	Kingler	4' 03"	132.3	Its large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/099.png
100	Voltorb	1' 08"	22.9	It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/100.png
101	Electrode	3' 11"	146.8	Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/101.png
102	Exeggcute	1' 04"	5.5	Though it may look like it’s just a bunch of eggs, it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/102.png
103	Exeggutor	6' 07"	264.6	Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png
104	Cubone	1' 04"	14.3	When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/104.png
105	Marowak	3' 03"	99.2	This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/105.png
106	Hitmonlee	4' 11"	109.8	This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/106.png
107	Hitmonchan	4' 07"	110.7	Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/107.png
108	Lickitung	3' 11"	144.4	If this Pokémon’s sticky saliva gets on you and you don’t clean it off, an intense itch will set in. The itch won’t go away, either.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/108.png
109	Koffing	2' 00"	2.2	Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/109.png
110	Weezing	3' 11"	20.9	It mixes gases between its two bodies. It’s said that these Pokémon were seen all over the Galar region back in the day.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/110.png
111	Rhyhorn	3' 03"	253.5	Strong, but not too bright, this Pokémon can shatter even a skyscraper with its charging tackles.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/111.png
112	Rhydon	6' 03"	264.6	It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/112.png
113	Chansey	3' 07"	76.3	The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/113.png
114	Tangela	3' 03"	77.2	Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/114.png
115	Kangaskhan	7' 03"	176.4	Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/115.png
116	Horsea	1' 04"	17.6	Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/116.png
117	Seadra	3' 11"	55.1	It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/117.png
118	Goldeen	2' 00"	33.1	Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/118.png
119	Seaking	4' 03"	86.0	In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/119.png
120	Staryu	2' 07"	76.1	If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/120.png
121	Starmie	3' 07"	176.4	This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/121.png
122	Mr. Mime	4' 03"	120.2	The broadness of its hands may be no coincidence—many scientists believe its palms became enlarged specifically for pantomiming.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/122.png
123	Scyther	4' 11"	123.5	As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/123.png
124	Jynx	4' 07"	89.5	In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/124.png
125	Electabuzz	3' 07"	66.1	Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/125.png
126	Magmar	4' 03"	98.1	Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/126.png
127	Pinsir	4' 11"	121.3	These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/127.png
128	Tauros	4' 07"	194.9	When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/128.png
129	Magikarp	2' 11"	22.0	It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/129.png
130	Gyarados	21' 04"	518.1	It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/130.png
131	Lapras	8' 02"	485.0	A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/131.png
132	Ditto	1' 00"	8.8	It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/132.png
133	Eevee	1' 00"	14.3	It has the ability to alter the composition of its body to suit its surrounding environment.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/133.png
134	Vaporeon	3' 03"	63.9	When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/134.png
135	Jolteon	2' 07"	54.0	If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/135.png
136	Flareon	2' 11"	55.1	Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/136.png
137	Porygon	2' 07"	80.5	State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/137.png
138	Omanyte	1' 04"	16.5	Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/138.png
139	Omastar	3' 03"	77.2	Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/139.png
140	Kabuto	1' 08"	25.4	This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/140.png
141	Kabutops	4' 03"	89.3	Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/141.png
142	Aerodactyl	5' 11"	130.1	This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/142.png
143	Snorlax	6' 11"	1014.1	It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/143.png
144	Articuno	5' 07"	122.1	It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/144.png
145	Zapdos	5' 03"	116.0	This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/145.png
146	Moltres	6' 07"	132.3	It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/146.png
147	Dratini	5' 11"	7.3	Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/147.png
148	Dragonair	13' 01"	36.4	This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/148.png
149	Dragonite	7' 03"	463.0	It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/149.png
150	Mewtwo	6' 07"	269.0	Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/150.png
151	Mew	1' 04"	8.8	When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/151.png
152	Chikorita	2' 11"	14.1	In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/152.png
